,Name,href,Rating,Name_reviewer,Rating_reviewer,Elite,Ort_reviewer,Friends_count,Reviews_count,Pictures_count,Date,Comment,Names_pictures,Hilfreich,Lustig,Cool
24,Dynamo Cycling,https://www.yelp.de/biz/dynamo-cycling-paris,4.0,,,,,,,,,,,,,
25,CMG Sports Club,https://www.yelp.de/biz/cmg-sports-club-paris-5,3.0,,,,,,,,,,,,,
26,Moving,https://www.yelp.de/biz/moving-thiais,5.0,,,,,,,,,,,,,
27,Neoness,https://www.yelp.de/biz/neoness-paris-15,,,,,,,,,,,,,,
28,CMG Sports Club,https://www.yelp.de/biz/cmg-sports-club-paris-5,3.0,,,,,,,,,,,,,
29,Front de Seine,https://www.yelp.de/biz/front-de-seine-paris,4.0,,,,,,,,,,,,,
30,Gada Fitness,https://www.yelp.de/biz/gada-fitness-paris,,,,,,,,,,,,,,
31,Basic-Fit,https://www.yelp.de/biz/basic-fit-paris-5,,,,,,,,,,,,,,
32,Basic-Fit,https://www.yelp.de/biz/basic-fit-paris-3,3.0,,,,,,,,,,,,,
33,Neoness,https://www.yelp.de/biz/neoness-paris-6,4.0,,,,,,,,,,,,,
34,CMG Sports Club,https://www.yelp.de/biz/cmg-sports-club-paris-4,3.0,,,,,,,,,,,,,
35,Cercle Maillot,https://www.yelp.de/biz/cercle-maillot-paris-2,3.0,,,,,,,,,,,,,
36,Centre Aquatique d’Alfortville,https://www.yelp.de/biz/centre-aquatique-d-alfortville-alfortville,4.0,,,,,,,,,,,,,
37,Centre Anima,https://www.yelp.de/biz/centre-anima-paris,,,,,,,,,,,,,,
38,Gym Suédoise,https://www.yelp.de/biz/gym-su%C3%A9doise-paris-6,4.0,,,,,,,,,,,,,
39,Fitness Price,https://www.yelp.de/biz/fitness-price-paris,4.0,,,,,,,,,,,,,
40,Klay Club,https://www.yelp.de/biz/klay-club-paris,3.0,,,,,,,,,,,,,
41,L’Espace,https://www.yelp.de/biz/l-espace-paris,,,,,,,,,,,,,,
42,Gym Suédoise,https://www.yelp.de/biz/gym-su%C3%A9doise-paris-6,4.0,,,,,,,,,,,,,
43,Klay Club,https://www.yelp.de/biz/klay-club-paris,3.0,,,,,,,,,,,,,
44,Fitness Story,https://www.yelp.de/biz/fitness-story-paris-2,,,,,,,,,,,,,,
45,House Boxing,https://www.yelp.de/biz/house-boxing-paris,5.0,,,,,,,,,,,,,
46,Swedish Fit,https://www.yelp.de/biz/swedish-fit-paris,4.0,,,,,,,,,,,,,
47,Neoness,https://www.yelp.de/biz/neoness-paris-18,5.0,,,,,,,,,,,,,
48,CMG Sports Club,https://www.yelp.de/biz/cmg-sports-club-paris-19,3.0,,,,,,,,,,,,,
49,Fitness Park,https://www.yelp.de/biz/fitness-park-paris-2,,,,,,,,,,,,,,
50,Shape Studio,https://www.yelp.de/biz/shape-studio-paris,,,,,,,,,,,,,,
51,Fitness Park,https://www.yelp.de/biz/fitness-park-paris-8,,,,,,,,,,,,,,
